,Collaborateur,AccountID Jira,,Aout,,,,,,,,,,,,,Septembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octobre,,,,,,,,,,,,
,Nicolas Beucler,5ed754b0f93b230ba59a3d38,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xavier Michel,5b97bc461b4803467d26fd6e,,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maxime Ancellin,5e787dfb2466490c495f2a85,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joël Royer,5a96abe5e9dc0033a7af8cfb,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre Thevenet,557058:87b17037-8a69-4b38-8dab-b4cf904e960a,"0,5",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PO,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Boucard Planel,5db2f070af604e0db364eb12,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre Bertin,5a27b9ed466b4a37eec61268,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vincent Martin,557058:d8f506a1-fa47-4681-9ab1-7214a062c264,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victor Dumesny,557058:834cbf83-d227-4823-bfdf-db62c8672ad1,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippe Fleur,557058:df17bf30-7843-415e-985d-151faba64429,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
